time_utc,sensor_index,name,dist_mi,bearing,pm25_a,pm25_b,pm25_avg
2025-10-04 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.7,4.8,8.25
2025-10-04 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.0,7.2,11.6
2025-10-04 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.6,5.2,8.4
2025-10-04 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.6,6.9,9.75
2025-10-04 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.2,8.3,11.75
2025-10-04 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.5,8.0,12.25
2025-10-07 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.2,1.6,1.4
2025-10-07 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.7,3.1,1.9
2025-10-07 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.5,1.0,2.25
2025-10-07 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.6,1.4,1.0
2025-10-07 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.0,0.1,0.05
2025-10-02 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.7,1.1,1.9
2025-10-02 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.5,0.8,1.15
2025-10-02 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.6,5.2,5.9
2025-10-02 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.6,5.5,6.05
2025-10-01 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.6,2.6,4.6
2025-10-01 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.0,3.2,5.1
2025-10-01 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.7,3.0,4.85
2025-10-01 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,22.0,12.7,17.35
2025-10-01 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.0,3.1,5.05
2025-10-03 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.3,4.4,6.85
2025-10-03 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.7,7.8,10.25
2025-10-03 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.4,7.5,9.45
2025-10-03 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.9,3.6,6.25
2025-10-03 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.2,8.9,12.55
2025-10-03 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.1,5.2,7.15
2025-10-06 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.1,2.1,3.6
2025-10-06 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.6,4.0,4.8
2025-10-06 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.4,2.7,4.05
2025-10-06 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.2,1.6,2.9
2025-10-06 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.5,2.0,3.75
2025-10-06 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.1,2.6,4.35
2025-10-06 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.3,1.2,2.25
2025-10-05 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.6,2.2,3.9
2025-10-05 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.7,2.4,4.05
2025-10-05 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,18.8,8.1,13.45
2025-10-05 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.6,6.5,11.05
2025-10-05 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.8,2.3,4.05
2025-10-05 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.2,2.6,4.4
2025-10-05 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.9,8.6,11.25
2025-10-08 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.8,3.7,5.75
2025-10-08 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.1,6.7,8.4
2025-10-08 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.0,4.5,6.75
2025-10-08 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.3,1.6,2.95
2025-10-08 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.1,0.5,0.8
2025-10-08 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.5,0.2,0.35
2025-10-09 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.0,0.1,0.55
2025-10-09 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.2,0.2,0.2
2025-10-09 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.5,1.4,2.45
2025-10-09 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.6,0.1,0.35
2025-10-09 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.1,0.3,1.2
2025-10-09 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.9,0.9,1.9
2025-10-09 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.1,0.3,0.2
2025-10-10 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.2,2.1,3.65
2025-10-10 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.4,2.2,3.8
2025-10-10 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.4,0.9,1.65
2025-10-10 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.5,2.6,5.05
2025-10-10 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.4,2.2,3.8
2025-10-10 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.9,1.3,2.6
2025-10-12 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.9,0.5,1.7
2025-10-12 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.1,1.2,2.65
2025-10-12 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.3,0.5,1.9
2025-10-12 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.5,0.4,1.45
2025-10-12 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.2,0.1,0.65
2025-10-12 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.1,0.4,1.25
2025-10-12 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.7,0.6,2.15
2025-10-14 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,19.0,10.1,14.55
2025-10-14 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,35.2,21.7,28.45
2025-10-14 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,19.7,10.1,14.9
2025-10-14 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.2,3.9,7.55
2025-10-14 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,18.4,8.5,13.45
2025-10-14 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.4,5.0,8.2
2025-10-14 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,20.3,10.4,15.35
2025-10-13 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.6,3.0,6.3
2025-10-13 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.6,2.0,4.8
2025-10-13 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.9,1.4,3.65
2025-10-13 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.9,6.1,10.0
2025-10-11 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.4,0.1,0.25
2025-10-11 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.7,3.7,6.7
2025-10-11 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.3,0.2,0.75
2025-10-11 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.9,0.1,0.5
2025-10-11 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.9,0.5,1.2
2025-10-11 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.5,1.2,2.35
2025-10-11 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.6,0.6,1.1
2025-10-04 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.8,5.8,9.8
2025-10-04 05:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.4,6.8,9.6
2025-10-04 22:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.5,4.6,8.05
2025-10-04 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,17.1,7.2,12.15
2025-10-04 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.7,6.3,10.5
2025-10-04 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,20.2,9.2,14.7
2025-10-04 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.2,6.7,10.95
2025-10-04 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,15.8,7.5,11.65
2025-10-07 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.0,0.1,0.05
2025-10-07 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.3,3.7,7.0
2025-10-02 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.6,0.9,1.75
2025-10-02 00:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.5,4.2,6.35
2025-10-02 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.9,1.4,2.15
2025-10-02 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,5.2,2.2,3.7
2025-10-02 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.5,1.3,1.9
2025-10-02 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.9,4.7,5.8
2025-10-02 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.3,6.5,7.4
2025-10-02 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.3,2.3,3.3
2025-10-01 14:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.5,3.0,4.75
2025-10-01 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.1,3.3,5.2
2025-10-01 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.4,4.7,6.05
2025-10-01 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.9,4.5,6.7
2025-10-01 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.0,2.9,4.95
2025-10-01 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.6,4.5,6.55
2025-10-01 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.7,7.3,11.0
2025-10-03 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.2,7.3,10.25
2025-10-03 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,16.4,9.8,13.1
2025-10-03 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.6,5.6,7.6
2025-10-03 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.1,3.3,6.2
2025-10-03 21:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.4,5.2,8.3
2025-10-06 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.0,2.4,4.7
2025-10-06 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.0,1.6,2.3
2025-10-06 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.0,2.3,4.15
2025-10-06 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.7,2.6,4.65
2025-10-06 20:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.5,2.1,3.3
2025-10-06 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,4.9,1.9,3.4
2025-10-06 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.2,1.2,2.2
2025-10-05 07:00:00,146228,Progressive Community Church (NLCEP),19.1,135,14.9,6.0,10.45
2025-10-05 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,17.7,8.1,12.9
2025-10-05 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,17.5,8.0,12.75
2025-10-05 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,17.0,6.9,11.95
2025-10-08 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.1,0.1,0.1
2025-10-08 19:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.2,0.1,0.15
2025-10-08 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.2,0.1,0.15
